action_count_0,action_count_1,avg_sinr_db,avg_tos_s,dense_reward,episode,epsilon,eval_best_safety_score_so_far,eval_safety_score,eval_unsafe_extra_ho_mean,eval_unsafe_extra_rb_per_s_ue_mean,eval_unsafe_outage_time_saved_s_mean,eval_unsafe_reward_gain_mean,eval_unsafe_rlf_delta_mean,eval_unsafe_sinr_gain_db_mean,eval_unsafe_uho_delta_mean,eval_unsafe_uho_per_ho_delta_mean,ho_count,kpi_score,loss,mean_train_reward,method,outage_fraction,outage_time_s,rb_count,rb_per_s_ue,reward,rl_base_step_reward,rl_training_reward,rlf_count,scenario_idx,scenario_random_mix,scenario_seed,short_tos_count,train_standard_baseline_reward,train_standard_extra_ho,train_standard_extra_rb_per_s_ue,train_standard_outage_time_saved_s,train_standard_reward_gain,train_standard_rlf_delta,train_standard_safety_score,train_standard_sinr_gain_db,train_standard_uho_delta,train_unsafe_baseline_reward,train_unsafe_extra_ho,train_unsafe_extra_rb_per_s_ue,train_unsafe_outage_time_saved_s,train_unsafe_reward_gain,train_unsafe_rlf_delta,train_unsafe_safety_score,train_unsafe_sinr_gain_db,train_unsafe_uho_delta,uho_count,uho_per_ho
71,19,0.534557085308025,1.2615384615384595,860.3142682458841,19,0.24271666666666666,,,,,,,,,,,13,-135.80234944180455,0.10529442131519318,0.4779523712477131,Simple-DQN-HO,0.1111111111111111,2.0,113,6.277777777777778,-135.80234944180455,20.0,860.3142682458841,11,0,0,10009,11,34.45122284706106,8.0,3.333333333333333,-1.2,-170.2535722888656,10.0,-2004.2415538820655,-2.4939907966000074,9.0,47.79570736679933,8.0,3.333333333333333,-1.2,-183.59805680860387,11.0,-2188.5890705620127,-2.9955068767044284,9.0,10,0.7692307692307693
69,21,0.6457480343876532,1.5818181818181791,902.5123842795826,20,0.24233333333333335,,,,,,,,,,,11,-106.37496461661362,0.10695675760507584,0.5013957690442123,Simple-DQN-HO,0.12222222222222222,2.1999999999999997,98,5.444444444444445,-106.37496461661362,20.0,902.5123842795826,9,0,0,10009,9,34.45122284706106,6.0,2.5,-1.3999999999999997,-140.82618746367467,8.0,-1631.3417871587153,-2.3827998475203795,7.0,47.79570736679933,6.0,2.5,-1.3999999999999997,-154.17067198341294,9.0,-1815.6893038386625,-2.8843159276248,7.0,8,0.7272727272727273
74,16,0.5525580668367845,1.1571428571428553,615.6020656095307,21,0.24195,,,,,,,,,,,14,-162.607557634598,0.09968910366296768,0.34200114756085015,Simple-DQN-HO,0.1111111111111111,2.0,117,6.5,-162.607557634598,20.0,615.6020656095307,14,0,0,10009,12,34.45122284706106,9.0,3.5555555555555554,-1.2,-197.05878048165908,13.0,-2553.844093445135,-2.475989815071248,11.0,47.79570736679933,9.0,3.5555555555555554,-1.2,-210.40326500139733,14.0,-2738.191610125082,-2.977505895175669,11.0,12,0.8571428571428571
80,10,1.6862667773846687,2.0999999999999965,1402.3825493625923,22,0.24156666666666665,,,,,,,,,,,8,-20.398392952410752,0.05388768017292023,0.7791014163125511,Simple-DQN-HO,0.1111111111111111,2.0,68,3.7777777777777777,-20.398392952410752,20.0,1402.3825493625923,4,0,0,10009,5,34.45122284706106,3.0,0.833333333333333,-1.2,-54.84961579947181,3.0,-654.2841780085186,-1.3422811045233638,3.0,47.79570736679933,3.0,0.833333333333333,-1.2,-68.19410031921008,4.0,-838.6316946884656,-1.8437971846277847,3.0,4,0.5
79,11,0.7619907907083642,1.0363636363636355,911.9391101176097,23,0.24118333333333333,,,,,,,,,,,11,-126.73146925166009,0.10315051674842834,0.5066328389542273,Simple-DQN-HO,0.12222222222222222,2.1999999999999997,90,5.0,-126.73146925166009,20.0,911.9391101176097,10,0,0,10009,10,34.45122284706106,6.0,2.0555555555555554,-1.3999999999999997,-161.18269209872113,9.0,-1826.7991396144537,-2.2665570911996684,8.0,47.79570736679933,6.0,2.0555555555555554,-1.3999999999999997,-174.5271766184594,10.0,-2011.1466562944008,-2.7680731713040894,8.0,9,0.8181818181818182
73,17,1.042298494291899,1.383333333333331,837.1680033225907,24,0.24080000000000001,,,,,,,,,,,12,-136.32661381940218,0.05123469978570938,0.4650933351792169,Simple-DQN-HO,0.1111111111111111,2.0,103,5.722222222222222,-136.32661381940218,20.0,837.1680033225907,11,0,0,10009,11,34.45122284706106,7.0,2.7777777777777777,-1.2,-170.77783666646326,10.0,-2008.4170021083623,-1.9862493876161336,10.0,47.79570736679933,7.0,2.7777777777777777,-1.2,-184.1223211862015,11.0,-2192.764518788309,-2.4877654677205543,10.0,11,0.9166666666666666
78,12,0.997013471830444,1.424999999999999,1163.7943185638958,25,0.24041666666666667,,,,,,,,,,,8,-66.85559749742737,0.0913260281085968,0.646552399202164,Simple-DQN-HO,0.1111111111111111,2.0,68,3.7777777777777777,-66.85559749742737,20.0,1163.7943185638958,7,0,0,10009,5,34.45122284706106,3.0,0.833333333333333,-1.2,-101.30682034448843,6.0,-1218.1198891646436,-2.0315344100775885,4.0,47.79570736679933,3.0,0.833333333333333,-1.2,-114.65130486422669,7.0,-1402.4674058445908,-2.5330504901820095,4.0,5,0.625
76,14,1.5381303257097647,1.6285714285714274,1289.4099575519747,26,0.24003333333333332,,,,,,,,,,,7,-34.218870088771155,0.08158529549837112,0.7163388653066523,Simple-DQN-HO,0.12222222222222222,2.1999999999999997,64,3.5555555555555554,-34.218870088771155,20.0,1289.4099575519747,5,0,0,10009,4,34.45122284706106,2.0,0.6111111111111107,-1.3999999999999997,-68.67009293583222,4.0,-848.5675947148953,-1.4904175561982678,3.0,47.79570736679933,2.0,0.6111111111111107,-1.3999999999999997,-82.01457745557047,5.0,-1032.9151113948424,-1.9919336363026887,3.0,4,0.5714285714285714
73,17,-0.5342472058025487,0.9529411764705867,549.4939166334468,27,0.23965,,,,,,,,,,,17,-172.7640773318557,0.10635880380868912,0.3052743981296925,Simple-DQN-HO,0.13333333333333333,2.4,139,7.722222222222222,-172.7640773318557,20.0,549.4939166334468,14,0,0,10009,15,34.45122284706106,12.0,4.777777777777778,-1.5999999999999999,-207.21530017891678,13.0,-2603.5075570210042,-3.5627950877105814,13.0,47.79570736679933,12.0,4.777777777777778,-1.5999999999999999,-220.55978469865502,14.0,-2787.8550737009514,-4.064311167815002,13.0,14,0.8235294117647058
75,15,1.200911243021066,1.5818181818181791,1128.498474785541,28,0.23926666666666666,,,,,,,,,,,11,-88.7607269957601,0.04860350862145424,0.6269435971030783,Simple-DQN-HO,0.1111111111111111,2.0,92,5.111111111111111,-88.7607269957601,20.0,1128.498474785541,8,0,0,10009,7,34.45122284706106,6.0,2.166666666666666,-1.2,-123.21194984282116,7.0,-1425.117223120595,-1.8276366388869665,6.0,47.79570736679933,6.0,2.166666666666666,-1.2,-136.55643436255943,8.0,-1609.4647398005422,-2.3291527189913874,6.0,7,0.6363636363636364
